title,authors,description,published_date
The Complete Idiot's Guide to Puppies,M.A. Gorman,"The Complete Idiot's Guide to Puppies covers everything new pet owners need to know to care for and bond with a new puppy, which will prevent future problems and ensure a great relationship with the new pet. Readers will discover how to find the right puppy, the basic dog breeds, positive dog training, and in-depth healthcare specifically geared to the needs of puppies.",2006-02-07
The Puppies of Christ,Allen Holden,This is the story of the puppies of Christ that became the bosom friends of the great Reedemer of the world at the time of His birth. These were the three puppies that were in His life for all of eternity and were His protectors and righteous followers on the earth and were more innocent than many of His human followers. This is a story that was found on the Temple Mount. This is an author that has seen many images of the birth of Christ where there were many animals with Him and at times there were puppies. This is an author that knows the magnificent innocence of Christ and knows the innocence of puppies as well and understands that puppies at times may have greatly assisted His salvation of the world in certain areas greatly better than humans. This is the author that wrote the story from the Temple Mount for our period of time.,2009-08-01
Dogs and Puppies,Anita Ganeri,"Young readers can follow the transformation from floppy puppy to energetic dog in this book, one in a series of books that tracks the life cycles of familiar animals, both wild and domestic.",2007
All About Beagle Puppies,Janet Long,"Learn how to lead a full and rewarding life with your Beagle Puppy and watch them develop into a mature healthy Beagle! In Fact, if you want to learn all you can about Beagle Puppies, then you've come to the right place! The Beagle is a very loving breed that will be devoted to you throughout their entire lives... Discover... o What to look for in a Beagle owner or breeder o When is the Beagle puppy old enough to leave the mother o How to choose the right Beagle puppy for YOU o What to watch for o Paperwork o Questions to ask o Bringing the Beagle puppy home o Preparation at home o Arrival o Introducing the family o Keeping a healthy Beagle puppy o Good nutrition o Vaccinations and vet visits o Common Beagle puppy health problems Act now and get How to Train your Beagle. With our No Quibble, Money Back Guarantee really have nothing to lose but everything to gain. A loving, caring, more rewarding relationship with your chosen friend. Take care of yourself and your Beagle Be prepared to care Keywords: About Beagle Puppies, Beagle Puppies for sale, Beagle breeders, Beagle puppy for sale, Beagle puppies, Beagle puppy information, Beagle rescue How to Train Your Beagle Want to learn how to be in control of your Beagle? Training your Beagle puppy o Basic commands o Common puppy problems o Housetraining o Barking o Biting or nipping o Jumping up o Leash problems o Choosing a trainer or a class o Training your adult Beagle o Particular training challenges with a Beagle o Common adult Beagle problems and solutions o Biting and nipping o Barking or Chasing other animals o Aggression towards other animals o Chewing o Digging o Anxiety o Running away o Pulling on the leash o Coprophagy o Constantly distracted Are all covered in this EASY to understand book. Act now and get How to Train your Beagle. With our No Quibble, Money Back Guarantee really have nothing to lose but everything to gain. A loving, caring, more rewarding relationship with your chosen friend. Fiz",2013-07-30
The Puppies' Guide to Training Humans,"Cochise Barksdale,Keith Barksdale","It is universally understood that dog is man's best friend. But who really trains whom? In this delightfully engaging and humorously lighthearted book, first-time author (and dog) Cochise Barksdale (with typing help from his human companion, Keith) shows readers who the real masterminds are in the human-dog relationship. In true canine spirit, The Puppies' Guide to Training Humans sets out on the surface to show dogs and puppies the proper way to choose, train, and live with their human companions, but the author cleverly employs a subversive tactic of tip-dropping for human readers that will leave them laughing, nodding their heads, and begging for more.",2010-01
Happy Fourteen - Puppies go to the ZOO - book # 5,Donna Brooks,"Happy Fourteen is a delightful collection of ten journeys. With comforting simplicity and gentle rhythms, Donna Brooks, celebrates the unconditional love between children and little puppies. As the pages turn and the landscapes evolve from forest to the moon, this is an enchanting gift that will warm children's hearts. This ten book collection of puppy tales is designed to make learning beautifully landscaped material entertaining for children.",2015-01-20
"Thank You, God, for Puppies","Thomas Nelson Publishers,Thomas Nelson","God bless my puppy, and God bless me! Thank You, God, for giving him to me. God bless my kitty, and God bless me! She's as pretty as she can be. Puppies and kittens are cherished members of the family in today’s homes. And even the littlest tykes love their pets and will adore these sweet pictures of all different types and colors of puppies and kittens with the cute text that accompanies. Fun rhyming text about all the things we love about puppies and kitties will accompany adorable photos. By thanking God for their pet, children will have a tangible way to see God’s blessings to them.",2013-04-09
Training and Understanding Your Chinese Shar-Pei Dog and Puppies Behavior,Vince Stead,"1. The Characteristics of a Chinese Shar-Pei Puppy or Dog 2. What You Should Know About Puppy Teeth 3. Some Helpful Tips for Raising Your Chinese Shar-Pei Puppy 4. Are Rawhide Treats Good for Your Chinese Shar-Pei? 5. How to Crate Train Your Chinese Shar-Pei 6. When Should You Spay Or Neuter Your Dog? 7. When Your Chinese Shar-Pei Makes Potty Mistakes 8. How to Teach your Chinese Shar-Pei to Fetch 9. Make it Easier and Healthier for Feeding Your Chinese Shar-Pei 10. When Your Chinese Shar-Pei Has eparation Anxiety, and How to Deal With It 11. When Your Chinese Shar-Pei Is Afraid of Loud Noises 12. How to Stop Your Chinese Shar-Pei From Jumping Up On People 13. How to Build A Whelping Box for a Chinese Shar-Pei or Any Other Breed of Dog 14. How to Teach Your Chinese Shar-Pei to Sit 15. Why Your Chinese Shar-Pei Needs a Good Soft Bed to Sleep In 16. How to Stop Your Chinese Shar-Pei From Running Away or Bolting Out the Door 17. Some Helpful Tips for Raising Your Chinese Shar-Pei Puppy 18. How to Socialize Your Chinese Shar-Pei Puppy 19. How to Stop Your Chinese Shar-Pei Dog From Excessive Barking 20. When Your Chinese Shar-Pei Has Dog Food or Toy Aggression Tendencies 21. What you Should Know about Fleas and Ticks 22. How to Stop Your Chinese Shar-Pei Puppy or Dog From Biting 23. What to Expect Before and During your Dog Having Puppies 24. What the Benefits of Micro chipping Your Dog Are to You 25. How to Get Something Out of a Puppy or Dog's Belly Without Surgery 26. How to Clean Your Chinese Shar-Pei's Ears Correctly 27. How to Stop Your Chinese Shar-Pei From Eating Their Own Stools 28. How Invisible Fencing Typically Works to Train and Protect Your Dog 29. Some Items You Should Never Let Your Puppy or Dog Eat 30. How to Make Sure Your Dog is Eating A Healthy Amount of Food 31. Make it Easier and Healthier for Feeding Your Chinese Shar-Pei 32. How to Clean and Groom your Chinese Shar-Pei 33. How to Trim a Puppy or Dogs Nails Properly 34. The 5 Different Kinds of Worms that can Harm your Dog 35. How to Deworm your Chinese Shar-Pei for Good Health 36. What You Should Know About Dog Rabies 37. Some Helpful Healthy and Tasty Homemade Dog Food Recipes 38. How to Select Treats To Train Your Dog With",2011-11-28
101 Dalmatians: The Puppies' First Christmas,Disney Book Group,"One winter evening, Anita and Roger haul a huge tree into their London home and begin hanging strings of small lights and tinsel garlands. The Dalmatian puppies look at one another, confused. The puppies soon learn that it is Christmas Eve! Pongo and Perdita explain that Christmas is a time when people show their friends and families how much they care. But when the puppies wake up on Christmas morning and begin opening all the presents, including Anita's and Roger's, have they gone too far? Don't miss this charming story as the Dalmatian puppies learn the true meaning of Christmas!",2011-11-15
"Don't Bite the Postman, Puppies!",Naomi Kramer,"Butch was a bad, bad dog. He disobeyed his Boss and attacked the postman for invading their territory. And it gets worse. Unbeknownst to Butch, the postman was a werewolf. We all know what happens when a werewolf bites a human. But what happens when a dog bites a werewolf? This is a short story, approximately 9 (print) pages in length. Keywords: short story, Australian, paranormal, werewolf, humour, humor, fun",2013-12-31
Old-Time Dogs and Puppies Stickers,Maggie Kate,"Outstanding canine portraits in a sticker collection dog lovers will find irresistible. Many different breeds—terriers, bulldog, boxer, collie, dachshund, Pekingese and St. Bernard among them—are depicted in poses certain to melt hearts. 29 full-color stickers on 4 plates.",1992-11
Old-Time Dogs and Puppies Stickers,Maggie Kate,"Outstanding canine portraits in a sticker collection dog lovers will find irresistible. Many different breeds—terriers, bulldog, boxer, collie, dachshund, Pekingese and St. Bernard among them—are depicted in poses certain to melt hearts. 29 full-color stickers on 4 plates.",1992-11
Why Do Puppies Do That?,Seymour Simon,"Whether your family is about to get a puppy, or starting to think about it, this book is full of fascinating information and irresistible photos you and your children will want to read again and again! With his trademark balance of conversational tone, informative text and stand-out illustrations, Simon delivers another delightful romp of discovery, both pictorially and factually. Each question about puppy behavior is treated to a full-color, photographic spread; the images in this picture book are so alive that children will reach out to touch them. This engaging title will be an asset to both early reader and read aloud collections. A StarWalk Kids Digital Original eBook.",2012-10-01
Carlos and the Puppies,Jay Dale,FictionCarlos is looking for a puppy. Is this puppy for Carlos?,2012-01-01
"Palace Puppies, Book Four: Sunny and the Secret Passage",Laura Dower,"Sunny and Rex are royal puppies! Sunny is a ladylike goldendoodle, and Rex is a mischievous beagle. They love living in the palace together with their owners and best friends, Princess Annie and Prince James. Now there's a new addition to the royal family—James and Annie have a baby sister! Unfortunately, little Baby Rose makes a whole lot of noise. On a rainy day at Glimmer Rock palace, everyone is stuck indoors, and no one can escape her cries. Sunny, Rex, and their new puppy friend Blix take refuge in the library, where they stumble on an old map of secret passages within the castle walls. Their drizzly day has turned into an adventure! As the puppies follow the clues on the map, they meet new friends, discover secrets hidden for centuries, and search for lost treasure!",2013-12-10
All About Coton de Tulear Puppies,Fiz Buckby,"Learn how to lead a full and rewarding life with your Coton de Tulear Puppy and watch them develop into a mature healthy Coton de Tulear! In Fact, if you want to learn all you can about Coton de Tulear Puppies, then you've come to the right place! The Coton de Tulear is a very loving breed that will be devoted to you throughout their entire lives... Discover... What to look for in a Coton de Tulear owner or breeder When is the Coton de Tulear puppy old enough to leave the mother How to choose the right Coton de Tulear puppy for YOU What to watch for Paperwork Questions to ask Bringing the Coton de Tulear puppy home Preparation at home Arrival Introducing the family Keeping a healthy Coton de Tulear puppy Good nutrition Vaccinations and vet visits Common Coton de Tulear puppy health problems Act now and get How to Train your Coton de Tulear. With our No Quibble, Money Back Guarantee really have nothing to lose but everything to gain. A loving, caring, more rewarding relationship with your chosen friend. Take care of yourself and your Coton de Tulear Be prepared to care.",2013-07-30
Training and Understanding Your Lhasa Apso Dog and Puppies Behavior,Vince Stead,"1. The Characteristics of a Lhasa Apso Puppy or Dog 2. What You Should Know About Puppy Teeth 3. Some Helpful Tips for Raising Your Lhasa Apso Puppy 4. Are Rawhide Treats Good for Your Lhasa Apso? 5. How to Crate Train Your Lhasa Apso 6. When Should You Spay Or Neuter Your Dog? 7. When Your Lhasa Apso Makes Potty Mistakes 8. How to Teach your Lhasa Apso to Fetch 9. Make it Easier and Healthier for Feeding Your Lhasa Apso 10. When Your Lhasa Apso Has Separation Anxiety, and How to Deal With It 11. When Your Lhasa Apso Is Afraid of Loud Noises 12. How to Stop Your Lhasa Apso From Jumping Up On People 13. How to Build A Whelping Box for a Lhasa Apso or Any Other Breed of Dog 14. How to Teach Your Lhasa Apso to Sit 15. Why Your Lhasa Apso Needs a Good Soft Bed to Sleep In 16. How to Stop Your Lhasa Apso From Running Away or Bolting Out the Door 17. Some Helpful Tips for Raising Your Lhasa Apso Puppy 18. How to Socialize Your Lhasa Apso Puppy 19. How to Stop Your Lhasa Apso Dog From Excessive Barking 20. When Your Lhasa Apso Has Dog Food or Toy Aggression Tendencies 21. What you Should Know about Fleas and Ticks 22. How to Stop Your Lhasa Apso Puppy or Dog From Biting 23. What to Expect Before and During your Dog Having Puppies 24. What the Benefits of Micro chipping Your Dog Are to You 25. How to Get Something Out of a Puppy or Dog's Belly Without Surgery 26. How to Clean Your Lhasa Apsos Ears Correctly 27. How to Stop Your Lhasa Apso From Eating Their Own Stools 28. How Invisible Fencing Typically Works to Train and Protect Your Dog 29. Some Items You Should Never Let Your Puppy or Dog Eat 30. How to Make Sure Your Dog is Eating A Healthy Amount of Food 31. Make it Easier and Healthier for Feeding Your Lhasa Apso 32. How to Clean and Groom your Lhasa Apso 33. How to Trim a Puppy or Dogs Nails Properly 34. The 5 Different Kinds of Worms that can Harm your Dog 35. How to Deworm your Lhasa Apso for Good Health 36. What You Should Know About Dog Rabies 37. Some Helpful Healthy and Tasty Homemade Dog Food Recipes 38. How to Select Treats To Train Your Dog With",2011-11-30
The Quick Guide to Cocker Spaniel Puppies,Blair Smart,"Cocker spaniels puppies are cute, intelligent, lively and eager to please. Their friendliness, devotion and ability to adapt to different environments and people make them a very popular breed to own. This puppy guide book by Blair Smart will give you a quick and easy overview on cocker spaniel puppy care. It will take you by the hand through all you need to know about raising a cocker spaniel puppy, including: History of Breed Physical Attributes The Pros and Cons of a Cocker Spaniel Housing and Supplies Required Preparing for Your Puppy's Arrival Welcoming Your Puppy Grooming and Cleaning Development Training Socialization Common Ailments Signs of a Healthy Puppy Show Requirements",2015-01-08
Drawing Made Easy: Dogs and Puppies,Nolon Stacey,"Provides information on the techniques of drawing dogs and puppies, offering step-by-step projects for drawing a variety of dog breeds, poses, and props.",2007-05-01
Dinosaur Space Pirates Share Afternoon Tea with Robo Ninja Puppies,Bob Mulcahy,NA,2014-03-19
Everything You Need to Know about House Training Puppies & Adult Dogs,Lori Verni,"Whether you have a puppy who is first learning, or an adult dog who has had confusion for years, this book includes sample schedules, answers to all of your questions, and solutions to many common and not-so-common problems. ~Crate Training ~Feeding & Watering Schedules ~In-Depth Problem Solving ~Designated Bathroom Area ~And Much More! With over 10 years of experience training family pets, Lori Verni provides you with realistic methods to help you teach your dog. Adaptable to your own lifestyle, you too can enjoy a trustworthy, housebroken pet within 30 days or less. Be sure to check out the sample chapter which reveals the full table of contents. You'll be amazed at how Lori Verni has truly thought of Everything You Need to Know About House Training Puppies & Adult Dogs! Buy the book now!",2005-05
"Puppies, Dogs, and Blue Northers",Gary Paulsen,"An experienced Iditarod racer, Gary Paulsen celebrates his lead dog and longtime companion, Cookie, in this intimate essay. Paulsen takes readers inside the kennel as Cookie’s last litter of pups grow and learn to pull sleds across the snowy frontier. Includes an author's note.",2007-08-01
"Precious Pretty Pitbull Puppies Vol. I: ""Waggin' Tails.""",J.E. Almenar,NA,NA
Puppies,Nicola Tuxworth,Photographs and simple text present puppies engaged in a variety of activities.,1999
Learn to Draw Dogs & Puppies,Robbin Cuddy,"Provides step-by-step instructions for drawing and coloring over twenty-five familiar dog breeds, including beagles, Australian shepherds, poodles, and Rottweilers.",2014-04-01
"Five puppies against an old wall,for one green ball.",Ratna Jalisatgi,NA,NA
Puppies,Brigitte Harries,"""Discusses how to choose and care for a puppy, including diet, training, behaviors, housing, grooming, exercise, and vet care""--Provided by publisher.",2013
Puppy Intensive Care,Myra Savant-Harris,"If puppies are on the way, you want those newborns to have the best possible chance of survival and good health. Learn how to adminster simple but effective measures to help puppies in distress if you cannot call upon the services of a vet in a timely manner. What you need to know when you most need to know it delivered in friendly, non-technical terns from a long-time breeder. Comes with a 32 minute DVD to better illustrate the techniques recommended.",2005-09
Learning Division with Puppies and Kittens,Linda R. Baker,"Accompanied by vibrant color pictures of adorable puppies and kittens, this book will capture the interest of elementary school students. Beginning with 'Words to Know' and continuing on to explain what division is and its relationship to subtraction and multiplication, readers will learn division within 100, supporting the Common Core Math Standards, and have fun at the same time. They will learn to recognize words that will lead them to use the operation of division to solve real-life math problems and feel confident about their ability to understand and implement division concepts.",2017-12-15
Puppies in the Pantry,Ben M. Baglio,"When Charley, a movie star dog, mysteriously vanishes, Mandy and Charles desperately search for the lost canine in the hope of preventing a disaster. Original.",1998
Love Puppies and Corner Kicks,Bob Krech,"Andrea's life is pretty close to perfect-she's the leading scorer on her soccer team, has great friends, and can't wait to start a new school year. Then her parents ruin everything by announcing that the family is moving to Scotland for a whole year! When Andrea gets there, she has to deal with a haunted castle, her stuttering problem, and some tough new soccer friends-who might not accept that the boy she is crushing on plays for a rival team. It's a perfect middle-grade tale of friendship, sports, and first love.",2010-02-04
Training your Puppy,NA,"Your new little puppy is like a sponge during his first few weeks in your home, waiting to soak up all that you can teach him. Take advantage of his willingness to learn! Train your pup properly and you will have a well-behaved adult dog. This Popular Pet Library® Magabook® (magazine-book) includes tips, training and advice from professional trainers and dog experts that will help owners train their furry new family member. Part of the Popular Dogs® Series. From the Editors of Dog Fancy® magazine.",2011-11-01
Perfect Puppy,Gwen Bailey,"Gwen Bailey's bestselling puppy care guide has helped hundreds of thousands of owners throughout the world raise a problem-free dog. Now, updated with the latest findings in canine behaviour and a completely new user-friendly design, this revised edition will teach you how to raise a problem-free dog. From housetraining to playing games, it will show you how to teach your dog good manners and build his confidence with the world around him. There are step-by-step training and socialization plans as well as a guide to understanding and preventing biting, chewing and other problems. If you want your puppy to develop into a happy, well-behaved and friendly adult dog, you cannot afford to be without this book.",2012-05-08
Puppies! puppies! puppies!,Susan Meyers,"Rhyming text follows the life of all sorts of puppies from when they are born ""with eyes shut tight,"" through moving in with a new family and ""getting bowls and beds and names,"" to learning how to do things grown-up dogs do.",2006
Puppies,John Valentine,"""A gorgeously witty account of the author's single-minded pursuit of young men"" -- The Advocate",1979-12-01
"Puppies, Kittens, and Other Pop-up Pets",Matthew Reinhart,Children can choose their favorite pet with this rhyming pop-up book.,2011
"Tree Frogs, Mud Puppies & Other Amphibians",Daniel Gilpin,"Introduces the habitat, behavior, physical characteristics, and life cycle of common and unusual amphibians, including the blue poison-dart frog and the Pacific giant salamander.",2005-07-01
Puppies,Laura Ellen Anderson,"Puppies are adorable Laura Ellen Anderson manages to make them even more adorable and enjoyable with her bold, funny puppy characters. Her with and style makes this every child's ideal first book about puppies.",2014-02-01
How to Make a Puppy!,Sy Guth,Dog breeding is a wonderful and fulfilling activity. The aim of this book is to aid the novice dog breeder in establishing a methodology based on best practices and common sense to ensure the delivery and rearing of healthy puppies. The book covers the basic aspects of dog breeding from designing a kennel to a detailed description on whelping puppies to preparing weaning formulas to choosing a puppy to breed on from; vetting puppy buyers; and case lessons based on the author's own experiences. The book also presents the basics of coefficient of inbreeding; reproduction cycle and mating; record keeping; and equipment helpful in breeding dogs. The book is well illustrated to enable an easy understanding of the concepts. The reader will find this book a caring approach to breeding dogs.,2008-09-04
Ten Little Puppies,"Marian Harris,Jim Harris","Ten puppies jump on a bed, ski in the snow, and go to a rodeo, in a rendition of the popular counting song.",2009-08-17
Puppies,Lisa Regan,"It is amazing how many dog breeds there are. They may be big or small, lively or lazy, black, white, or gold, but they are all lovable, especially when they are playful puppies and presented in 3-D.",2018
The Dogist,Elias Weiss Friedman,"When Friedman moved to New York City, he missed the dogs that had surrounded him growing up. He began photographing dogs on the street, and posting them on his blog, The Dogist. Whether because of the look in a dog's eyes, its innate beauty, or even the clothes its owner has dressed it in, every portrait in this book tells a story and explores the dog's distinct character and spirit.",2015-01-01
Puppies Need Pockets,Amy Motto,"A puppy shows her love of God's beautiful creations in nature. How can she bring treasures ""of the puppy kind"" home? A coat filled with pockets blows off the clothesline and she jumps into it. Then she picks up all her prizes and hurries home to bury them.",2018-08-15
Baby Touch and Feel: Puppies,Dorling Kindersley Publishing Staff,"Meet and pet playful puppies in Baby Touch and Feel: Puppies. Filled with real-life photographs of all kinds of puppies, with touch and feel textures that babies can stroke, tickle, and touch, this is the perfect book to encourage tiny fingers to explore and to help develop fine motor skills while building an early learning foundation with clearly labeled pictures. With padded covers, simple images, and an amazing range of novelty textures, Baby Touch and Feel books capture the attention of the very youngest children and create an experience they'll want to repeat again and again. Baby Touch and Feel books are the perfect series for the very youngest readers. These small, padded books excite babies and toddlers with their foil and touch-and-feel covers. Each book in this affordable series contains twelve vibrant interior pages with bold, engaging images. Containing large word labels, each page has foil or glitter to behold or a tantalizing texture to touch. These safe novelty textures immediately intrigue babies and are perfect for little fingers to feel. The Baby Touch and Feel series encourages sensory development, language skills, and early reading skills while teaching colors, shapes, patterns, and opposites.",2017-01-03
Puppies,Eileen Spinelli,"Describes the physical characteristics, habits, and habitats of various kinds of puppies. The outstanding photographs & fascinating facts in this Children's Nature Library series book will teach children about different animals & their environments, how animals are born, who cares for them, what they eat & how they play. Everything you could possibly want to know about puppies with cute color pictures of many breeds. Even if the child just looks at the color pictures this is a great book for all collections.",1991
Puppies,Carey Scott,Provides information on dog breeds and the care of puppies.,1997
Puppies,"Fiona Watt,Rachel Wells,S. Cartwright","Puppies with different textures of dog hair participate in sniffing, chasing, and digging.",2005-06-01
Dogs & Puppies,NA,NA,2019
Hubcaps and Puppies,Rosemary Nelson,"It’s not easy having your own father for a teacher, but that’s only one of twelve-year-old Nikki’s problems. Her beloved dog has died, leaving a gaping hole in her life, which is thrown into further turmoil by the arrival of her long-lost eccentric grandmother from Australia. Life is pretty tense around Nikki’s house, but Nikki relaxes by taking long rides on her horse and visiting a nearby secluded pond inhabited by a rare species of turtle. Things do begin to get brighter when she receives an unwanted, runt puppy as a birthday present. She names the ugly little Border Collie Lucky and he flourishes under her care. As she and her grandmother begin working together, first of all at preparing a garden and then at training Lucky for the local agility trials, they eventually become friends and the grandmother begins telling Nikki about her crusades for the environment in Australia. When Nikki finds out that developers are planning to fill in her special pond to build a housing estate, wiping out the turtles’ habitat, she decides to take a dangerous stand on the animals’ behalf. But can she really take on a big developer and win? Hubcaps and Puppies is not only a story about a girl, her dog and her horse, but also about the protection of the environment and the lessons that the older generation may have to teach the younger if they are willing to listen. Nelson writes in a fast-moving and energetic style, but her characters and situations are always realistic and believable.",2002-09-01
The Patterson Puppies and the Midnight Monster Party,Leslie Patricelli,"Puppy siblings Andy, Penelope, and Jack help their sister Petra overcome her fear of a nighttime monster.",2010
So Cute: Puppies,Crispin Boyer,"That wrinkly little face. Those sweet puppy dog eyes! That squishy, pudgy, fuzzy body! Let's face it ... puppies are SO CUTE! And, well, so is this book! Ready to get your paws on the most playful puppies in town? Well then you've come to the right place! Try to contain your squeals of delight as you flip through pages of the fluffy fur balls. From puppies at playtime to rascally ruff-housing, this book is filled with humor and informational sidebars, and pairs supercute puppy photos with imagined inner dialogue that will have the whole family laughing. Perfect for little kids getting acquainted with a new pup at home or kids who love animals in general.",2020-10-27
